ensembl_gene_id,study,ASD_DEUp_Voineagu,ASD_DEDown_Voineagu,ASD_CoexDown_M12_Voineagu,ASD_CoexUp_M16_Voineagu,ASD_CoexDown_M1_Gupta,ASD_CoexUp_M6_Gupta,ASD_CoexUp_M5_Gupta,Up,Down
ENSG00000063046,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000111229,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000156299,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000135919,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000114648,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000105643,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000137492,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000165819,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000104835,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000187145,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000127252,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000174437,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000109670,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000070081,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000153767,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000072756,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000121281,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000136861,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000142687,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000105576,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000084453,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000007944,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000178951,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000196950,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000198791,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000120053,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000124486,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000133065,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000169016,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000167216,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000134748,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000185432,Voineagu,0,0,0,1,NA,NA,NA,NA,NA
ENSG00000107742,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000108433,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000168546,Voineagu,0,1,1,0,NA,NA,NA,NA,NA
ENSG00000147130,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000151948,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000159423,Voineagu,0,0,0,1,NA,NA,NA,NA,NA
ENSG00000176907,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000100029,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000150961,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000120729,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000180964,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000084073,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000130703,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000171560,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000135999,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000138166,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000131845,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000214265,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000167654,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000130724,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000138326,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000160193,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000162378,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000155096,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000134375,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000131469,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000079805,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000114115,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000048707,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000126107,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000115902,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000014641,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000213145,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000112902,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000169891,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000173210,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000154856,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000198130,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000118407,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000185250,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000130023,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000131748,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000065457,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000169085,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000115091,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000102904,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000142230,Voineagu,0,0,1,0,NA,NA,NA,NA,NA
ENSG00000115009,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000091542,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000196502,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000114631,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000100307,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000090530,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000113161,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000090487,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000205364,Voineagu,0,0,0,1,NA,NA,NA,NA,NA
ENSG00000111790,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000135250,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000185728,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000213930,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000101310,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000137261,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000100784,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000109881,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000167508,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000184205,Voineagu,0,1,1,0,NA,NA,NA,NA,NA
ENSG00000088833,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000134215,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000198624,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000168827,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000119280,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000079332,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000074416,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
